ID;Meal;Restaurant;Type;Cal;P;C;F;Like Trigger;Reg;Vegan;Veg;Breakfast;Lunch;Dinner;;;;;;;;;;;;
151;Thai Red Curry;Pod;Lunch / Dinner;560;24,6;65,2;23,4;1;1;1;1;-;1;1;;;;;;;;;;;;
152;Thai Green Curry;Pod;Lunch / Dinner;542;24,7;63;22,2;1;1;1;1;-;1;1;;;;;;;;;;;;
153;Grilled Chicken and Chorizo Wrap;Pod;Lunch / Dinner;526;30,5;22,2;51,5;1;1;1;1;-;1;1;;;;;;;;;;;;
154;British Chicken & Mozzarella;Pod;Lunch / Dinner;583;36,4;49,4;24,2;1;1;1;1;-;1;1;;;;;;;;;;;;
155;Heart Boosting Beets (exc. Dressing, 121cals);Pod;Lunch / Dinner;488;22,5;52,8;18,4;1;1;1;1;-;1;1;;;;;;;;;;;;
156;Protein Box;Pod;Lunch / Dinner;483;60,4;7,5;26,6;1;1;1;1;-;1;1;;;;;;;;;;;;
157;Roast Smoked Salmon & Egg;Pod;Lunch / Dinner;464;36,5;38;20,1;1;1;1;1;-;1;1;;;;;;;;;;;;
158;Slow Burner with Chicken;Pod;Lunch / Dinner;507;32,1;40,4;21,7;1;1;1;1;-;1;1;;;;;;;;;;;;
159;Omega Salmon and Spinach Wrap;Pod;Lunch / Dinner;457;31,3;48;19,4;1;1;1;1;-;1;1;;;;;;;;;;;;
160;Breakfast Salmon & Egg;Pret;Breakfast;361;17,2;44,7;12;1;1;1;1;1;-;1;;;;;;;;;;;;
161;Veggie Brioche;Pret;Breakfast;346;17,1;38,5;14,5;1;1;1;1;1;-;1;;;;;;;;;;;;
162;Breakfast Egg & Bacon;Pret;Breakfast;360;16;44,8;12;1;1;1;1;1;-;1;;;;;;;;;;;;
163;Acai and Almond Butter Bowl;Pret;Breakfast;371;9,8;34,6;16,8;1;1;1;1;1;-;1;;;;;;;;;;;;
164;Bircher Muesli;Pret;Breakfast;299;13,1;41,4;9;1;1;1;1;1;-;1;;;;;;;;;;;;
165;Chicken Pesto Wrap;Pret;Lunch / Dinner;570;28,5;45,3;29,8;1;1;1;1;-;1;1;;;;;;;;;;;;
166;Hoisin Duck Salad Wrap;Pret;Lunch / Dinner;447;23,5;46,3;17,9;1;1;1;1;-;1;1;;;;;;;;;;;;
167;Chicken Avo Sandwich;Pret;Lunch / Dinner;482;24,7;41,3;22;1;1;1;1;-;1;1;;;;;;;;;;;;
168;Super Greens & Reds;Pret;Lunch / Dinner;447;10,5;43,8;22,4;1;1;1;1;-;1;1;;;;;;;;;;;;
169;Classic Super Cub;Pret;Lunch / Dinner;526;29,2;41,6;25,6;1;1;1;1;-;1;1;;;;;;;;;;;;
170;Free-range Egg Mayo;Pret;Lunch / Dinner;363;17,8;46,9;10,3;1;1;1;1;-;1;1;;;;;;;;;;;;
171;Tuna Melt Toast;Pret;Lunch / Dinner;537;34,2;47,4;23,2;1;1;1;1;-;1;1;;;;;;;;;;;;
172;Ham Cheese and Mustard;Pret;Lunch / Dinner;572;35,4;49,7;25,6;1;1;1;1;-;1;1;;;;;;;;;;;;
173;Smoked Salmon Protein Box;Pret;Lunch / Dinner;496;27,1;6,2;39,1;1;1;1;1;-;1;1;;;;;;;;;;;;
174;Bang Bang Chicken Salad;Pret;Lunch / Dinner;361;25,3;17,5;19,6;1;1;1;1;-;1;1;;;;;;;;;;;;
175;Tuna Nicoise Salad;Pret;Lunch / Dinner;455;28,1;7,4;33,6;1;1;1;1;-;1;1;;;;;;;;;;;;
176;Crafish & Avocado;Pret;Lunch / Dinner;352;14,7;4,2;29,3;1;1;1;1;-;1;1;;;;;;;;;;;;
177;Banana;Pret;Lunch / Dinner;62;0,7;13,9;0,2;0;1;1;1;-;1;1;;;;;;;;;;;;
178;Chicken & Butternut Risotto Soup;Pret;Lunch / Dinner;242;13;32,6;6,3;1;1;1;1;-;1;1;;;;;;;;;;;;
179;Chicken, Broccoli Brown Rice Soup;Pret;Lunch / Dinner;85;6;8,5;2,2;1;1;1;1;-;1;1;;;;;;;;;;;;
180;Roast Chicken and Root Veg;Pret;Lunch / Dinner;123;8,8;9;5,5;1;1;1;1;-;1;1;;;;;;;;;;;;
181;Red Thai Veg Soup;Pret;Lunch / Dinner;184;8,1;17;7,4;1;1;1;1;-;1;1;;;;;;;;;;;;
182;Classic Oatmeal;Starbucks;Breakfast;294;10;34,5;6,3;1;1;1;1;1;-;1;;;;;;;;;;;;
183;All day breakfast roll;Starbucks;Breakfast;463;27;57;13,9;1;1;1;1;1;-;1;;;;;;;;;;;;
184;Vegan all day breakfast burrito;Starbucks;Breakfast;388;15;47;14,1;1;1;1;1;1;-;1;;;;;;;;;;;;
185;Bacon & Egg Muffin;Starbucks;Breakfast;394;24;41;14,4;1;1;1;1;1;-;1;;;;;;;;;;;;
186;Cheese & Marmite Ciabatta;Starbucks;Lunch / Dinner;355;18;35;14,4;1;1;1;1;-;1;1;;;;;;;;;;;;
187;Ham & Cheese Toastie;Starbucks;Lunch / Dinner;479;27;48;19;1;1;1;1;-;1;1;;;;;;;;;;;;
188;Chicken & Pesto Toastie;Starbucks;Lunch / Dinner;363;22;49;8,4;1;1;1;1;-;1;1;;;;;;;;;;;;
189;Mushroom & Ricotta Toastie;Starbucks;Lunch / Dinner;348;12;52;7;1;1;1;1;-;1;1;;;;;;;;;;;;
190;Tuna Melt Panini;Starbucks;Lunch / Dinner;414;24;48;13,4;1;1;1;1;-;1;1;;;;;;;;;;;;
191;Roast Chicken Salad Sandwich;Starbucks;Lunch / Dinner;493;26;48;11;1;1;1;1;-;1;1;;;;;;;;;;;;
192;King Prawn Sandwich;Starbucks;Lunch / Dinner;341;20;46;7,3;1;1;1;1;-;1;1;;;;;;;;;;;;
